ustat,alph1,alph2,beta,chi
0.457531073,1.723729815,73.78033359,77.4,0.978664227
0.435469827,1.348658228,1.348658228,87.1,0.760977423
0.382714672,1.394260549,87.04463649,47.8,0.599849929
0.362691692,1.359039871,58.17061012,80.9,0.991331255
0.354898317,2.222213843,95.11680844,74.8,0.965795638
0.345306471,1.030203628,64.31631474,46.4,0.877885823
0.316530931,1.855426774,1.855426774,84.5,0.824626173
0.292551315,1.735063023,34.11170237,83.2,1.002126188
0.285956921,1.723729815,73.78033359,77.4,0.958809941
0.272168642,1.348658228,1.348658228,87.1,0.801440554
0.255143114,1.394260549,87.04463649,47.8,0.926927234
0.221811448,2.222213843,95.11680844,74.8,0.947045125
0.215816544,1.030203628,64.31631474,46.4,0.904010561
0.197831832,1.855426774,1.855426774,84.5,0.905847586
0.159464446,1.394260549,87.04463649,47.8,0.932450988
